player,org,agents,rounds,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
tyti,Neme,"chamber,brimstone",431,250.4,1.25,70,160.1,0.88,0.18,0.15,0.08,26,9
Newky,ARES,"jett,reyna",385,249.4,1.31,73,160.8,0.92,0.18,0.16,0.12,35,39
Avez,RAAD,"raze,sova,skye",436,249.0,1.25,79,160.9,0.87,0.31,0.10,0.08,28,17
TheGuyEdudz,TheGuyEdudz,"jett,chamber",302,249.0,1.06,69,162.3,0.83,0.21,0.21,0.20,24,10
fr1,GKE,"raze,reyna",374,248.9,1.23,75,172.2,0.90,0.18,0.18,0.11,32,9
muffinloop,VLT,"jett,neon,skye",229,248.6,1.21,67,158.2,0.89,0.19,0.20,0.16,24,12
heat,VK,"jett,chamber",483,248.6,1.28,70,163.9,0.91,0.14,0.20,0.14,31,12
chjna4q,chjna4q,"raze,jett",258,248.4,1.10,68,157.2,0.85,0.18,0.17,0.21,26,23
Reduxx,OXGA,"raze,jett,neon",1141,248.3,1.24,72,159.3,0.91,0.18,0.17,0.15,26,15
corey,TSM,"raze,jett,neon",566,248.1,1.21,74,162.2,0.86,0.21,0.17,0.11,26,14
Pine,TMV,"raze,jett",439,247.4,1.04,65,150.6,0.83,0.18,0.18,0.18,26,13
nukkye,G2,"raze,jett,sova",565,247.0,1.15,75,166.9,0.79,0.32,0.12,0.12,19,15
AtaKaptan,AtaKaptan,"omen,viper,brimstone",268,246.9,1.23,75,156.1,0.84,0.54,0.09,0.09,28,25
Monyet,Monyet,"raze,jett",359,246.6,1.10,69,157.5,0.83,0.20,0.17,0.18,22,23
Meteor,NTH,"raze,jett,chamber",246,246.5,1.08,68,154.1,0.85,0.15,0.21,0.18,26,15
bunny,bee,"killjoy,raze,skye",704,246.4,1.18,71,157.9,0.87,0.18,0.14,0.10,30,17
mimiFPS,mimiFPS,"jett,reyna,kayo",515,246.2,1.22,71,158.2,0.85,0.37,0.12,0.11,28,16
sonder,SR,"raze,jett,reyna",636,246.1,1.16,73,159.1,0.83,0.25,0.16,0.16,19,23
Babytz,X10F,"killjoy,sage,cypher",647,246.1,1.33,77,156.2,0.86,0.27,0.11,0.08,18,9
KnightRider,RNT,"jett,chamber,sage",721,246.0,1.21,66,156.1,0.90,0.11,0.19,0.17,32,10
jzz,MIBR,"raze,jett,chamber",364,245.8,1.12,73,158.7,0.84,0.18,0.25,0.17,30,
nemo,HZE,"raze,jett,reyna",350,245.8,1.14,73,154.4,0.84,0.19,0.17,0.15,22,10
ban,PK,"jett,sage,chamber",431,245.6,1.18,71,152.8,0.86,0.17,0.22,0.13,27,10
Raigard,NKT,"reyna,chamber,cypher",210,245.6,1.20,73,157.6,0.86,0.22,0.11,0.08,26,13
yay,OPTC,"jett,chamber",885,245.5,1.33,73,156.1,0.89,0.14,0.18,0.14,25,9
Shalaby,XPL,"raze,jett,breach",417,245.4,1.15,73,157.9,0.85,0.30,0.19,0.15,19,14
Dragon,Dragon,"raze,jett",392,244.9,1.08,66,156.9,0.86,0.17,0.21,0.15,28,20
Sato,puGG,"jett,chamber",307,244.5,1.26,65,155.1,0.89,0.09,0.15,0.14,33,13
TRuve,TRuve,"raze,jett,sova",295,244.4,1.00,71,166.4,0.79,0.29,0.12,0.15,25,11
VolcaN,Unkn,"jett,chamber",363,244.3,1.23,70,155.2,0.88,0.13,0.17,0.09,21,18
