player,org,agent,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
Poach,BBG,sova,168.4,1.11,77,114.2,0.59,0.32,0.04,0.03,27,18
kelllky,kelllky,sova,166.4,0.76,66,114.6,0.55,0.31,0.04,0.07,23,13
roseau,PSJ,sova,163.9,0.80,70,109.5,0.56,0.30,0.05,0.04,17,13
dip,LT,sova,161.8,0.85,74,113.1,0.52,0.39,0.05,0.04,21,4
gogu,gogu,sova,161.5,0.74,62,114.1,0.54,0.26,0.03,0.06,34,8
Eisberg,Eisberg,sova,157.9,0.86,72,111.4,0.52,0.41,0.04,0.06,17,19
azez,Wind,sova,157.1,0.67,64,112.7,0.52,0.29,0.05,0.10,20,12
crow,ZETA,sova,155.5,0.82,71,113.2,0.51,0.37,0.02,0.03,23,
sh1vy,GodL,sova,152.5,0.63,69,108.8,0.47,0.32,0.04,0.04,20,17
Nightmare,Nightmare,sova,150.1,0.66,67,107.1,0.46,0.41,0.07,0.10,14,10
tylo,ZMM.S,sova,146.2,0.63,60,103.3,0.47,0.25,0.06,0.10,28,8
YESicaN,FCY,viper,246.8,1.57,80,162.6,0.85,0.39,0.06,0.05,26,27
sScary,XIA,viper,241.3,1.25,77,159.9,0.80,0.38,0.06,0.07,24,18
MaKo,DRX,viper,233.5,1.29,77,149.1,0.77,0.38,0.08,0.04,21,19
Ange,DZ,viper,228.6,1.45,79,146.6,0.82,0.29,0.06,0.03,30,23
mindfreak,PRX,viper,225.8,1.40,76,141.3,0.84,0.24,0.08,0.06,28,22
icy,CD,viper,224.4,1.28,76,151.8,0.78,0.26,0.07,0.05,23,34
RgLMeister,ING,viper,223.9,1.30,79,151.4,0.80,0.28,0.03,0.04,24,22
aproto,Ghost,viper,222.7,1.52,82,144.0,0.85,0.29,0.08,0.06,38,10
soulM8,TE,viper,214.3,1.16,71,143.0,0.76,0.28,0.06,0.04,36,18
Dark3st,past,viper,210.8,0.99,72,145.6,0.71,0.33,0.06,0.10,27,21
Jlerst,SUR,viper,210.7,1.01,74,138.0,0.75,0.29,0.07,0.07,32,19
Poly,X10F,viper,209.4,1.22,78,128.6,0.73,0.33,0.09,0.09,26,29
wudiYuChEn,FPX.ZQ,viper,208.8,1.19,74,136.8,0.77,0.30,0.05,0.11,28,36
Andersin,DZ,viper,208.3,1.09,70,134.0,0.74,0.30,0.08,0.11,24,30
Oderus,NYFU,viper,204.9,1.08,71,136.7,0.74,0.28,0.12,0.13,26,21
v1xen,VK,viper,204.9,1.05,75,137.4,0.69,0.34,0.09,0.07,24,13
bucher,FKS,viper,204.9,1.07,70,131.5,0.71,0.24,0.05,0.04,36,17
OuTLaW,FAL,viper,202.6,0.98,68,128.4,0.69,0.27,0.10,0.08,33,8
AslaN,BIG,viper,201.2,0.98,66,136.1,0.69,0.29,0.09,0.08,24,14
Nurfed,OXGA,viper,199.3,0.99,72,127.4,0.72,0.34,0.11,0.10,23,23
eskay,eskay,viper,196.5,0.98,71,123.3,0.68,0.27,0.07,0.09,22,7
KRAY,TEN,viper,196.4,1.14,71,128.8,0.71,0.28,0.07,0.09,28,22
jEEE,NS,viper,195.5,0.90,69,129.8,0.66,0.29,0.09,0.13,22,30
payen,TSM.A,viper,195.1,1.01,71,122.5,0.67,0.33,0.07,0.09,22,16
RvK,Enigma,viper,194.7,0.97,67,126.1,0.69,0.20,0.09,0.09,35,13
grimoire,Roul,viper,194.4,0.99,73,125.6,0.68,0.28,0.08,0.06,35,14
PureVNS,PK.A,viper,194.2,0.94,66,134.0,0.68,0.21,0.08,0.09,29,13
Pixelzz,RGE,viper,193.4,0.98,65,129.2,0.68,0.21,0.07,0.09,26,12
kamyk,AM,viper,192.7,0.98,75,125.5,0.67,0.26,0.08,0.07,30,3
adm1k,AM,viper,192.4,0.97,69,125.6,0.64,0.31,0.07,0.07,22,21
MARCTYLINHO,S1,viper,189.9,0.94,70,124.4,0.65,0.27,0.06,0.07,21,16
Laz,ZETA,viper,187.8,0.93,69,125.8,0.63,0.34,0.08,0.11,24,15
P1nA2k4,BAAM,viper,187.3,0.95,71,125.9,0.68,0.33,0.07,0.09,33,24
monSi,BBG.A,viper,185.8,1.02,67,120.8,0.66,0.24,0.07,0.10,27,9
