player,org,agent,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
JinboongE,TNL,kayo,198.5,0.92,70,134.8,0.67,0.40,0.08,0.11,27,18
khanartist,BBG.A,kayo,198.4,0.91,67,130.3,0.68,0.36,0.09,0.10,28,15
Victor,OPTC,kayo,198.3,0.91,71,127.3,0.65,0.49,0.11,0.09,22,29
Blush,FL,kayo,198.2,0.95,69,119.9,0.69,0.45,0.07,0.09,16,10
paTiTek,XL,kayo,198.2,0.87,73,125.4,0.64,0.49,0.10,0.13,21,7
ohai,TB,kayo,197.8,1.01,71,131.6,0.70,0.41,0.08,0.09,28,11
maniek,AM,kayo,197.5,0.83,74,127.1,0.66,0.43,0.09,0.13,23,6
genuine,AIM,kayo,196.8,0.85,72,120.6,0.65,0.47,0.12,0.13,21,16
v1c,SoaR,kayo,194.1,0.99,73,126.7,0.66,0.33,0.08,0.10,26,6
shen,ONi,kayo,193.5,0.87,68,129.3,0.66,0.36,0.09,0.08,21,15
MateNiles,MateNiles,kayo,192.4,0.85,69,126.1,0.65,0.38,0.07,0.11,26,10
jen,IMT,kayo,192.1,0.96,75,127.7,0.64,0.48,0.08,0.05,26,11
xprt,xprt,kayo,191.7,1.07,80,119.8,0.65,0.49,0.06,0.05,24,17
shonk,ZMM.B,kayo,191.3,1.03,72,122.6,0.66,0.38,0.10,0.10,31,10
Amaterasu,VLT,kayo,190.2,1.00,79,121.2,0.66,0.52,0.09,0.08,31,11
Drone,DZ,kayo,188.9,1.07,76,126.2,0.69,0.34,0.08,0.09,35,36
Zyppan,FPX,kayo,188.3,0.87,70,125.0,0.65,0.47,0.08,0.12,27,44
alvarxz,IluZ,kayo,187.4,0.87,63,128.8,0.67,0.33,0.08,0.15,20,9
fifi,SRN.P,kayo,183.4,0.80,65,125.8,0.59,0.46,0.06,0.13,25,14
Dopai,DM,kayo,182.4,0.81,69,115.8,0.61,0.41,0.08,0.09,19,14
dre,TLPR,kayo,180.7,0.89,73,122.5,0.63,0.46,0.08,0.09,30,16
Precision,TSM.A,kayo,173.5,0.76,74,116.6,0.53,0.60,0.06,0.10,22,9
PryZee,TRY,kayo,172.7,0.77,72,118.2,0.59,0.40,0.07,0.09,23,13
EMUHLEET,DIG,kayo,171.3,0.85,71,112.2,0.57,0.49,0.04,0.07,18,19
Yolo,Hugh,kayo,169.0,0.72,68,111.2,0.57,0.41,0.07,0.15,24,18
shyz,B4A,kayo,166.3,0.89,75,107.1,0.59,0.45,0.07,0.07,20,17
mocking,LT,kayo,163.5,0.72,69,108.9,0.55,0.38,0.06,0.12,24,12
Zik,[A],kayo,160.8,0.72,64,106.8,0.52,0.50,0.05,0.10,30,15
AlphaFly,DV,kayo,156.5,0.74,67,103.9,0.52,0.33,0.05,0.13,24,22
vo0kashu,RBLS,killjoy,267.7,1.52,78,175.0,0.92,0.20,0.09,0.08,24,26
FireBallOps,BBG.A,killjoy,242.9,1.24,69,158.5,0.84,0.17,0.15,0.08,23,16
Nanners,TB,killjoy,232.7,1.28,74,156.9,0.82,0.18,0.08,0.10,25,17
Alfajer,SUR,killjoy,232.2,1.25,76,157.7,0.84,0.17,0.10,0.08,31,12
kirei,BAL,killjoy,228.6,1.26,73,156.5,0.81,0.16,0.09,0.06,25,18
BaWaN,BGN,killjoy,225.1,1.14,72,144.1,0.81,0.18,0.12,0.07,21,14
IamKimyy,FG,killjoy,223.9,1.03,67,144.8,0.76,0.19,0.10,0.09,14,18
Logistaa,RNT,killjoy,223.3,1.23,73,151.6,0.82,0.17,0.08,0.06,23,24
ApeX,MR,killjoy,222.7,1.21,72,147.8,0.81,0.11,0.11,0.07,37,4
k1Ng,DRX,killjoy,221.9,1.27,75,146.0,0.78,0.15,0.09,0.10,29,9
Minny,EP,killjoy,221.0,1.19,69,143.0,0.82,0.19,0.10,0.09,27,13
Meddo,G2,killjoy,216.8,1.40,79,147.9,0.82,0.14,0.07,0.07,24,8
wannafly,AAA,killjoy,211.7,1.20,77,148.1,0.76,0.20,0.09,0.06,23,26
PapiChulo,PapiChulo,killjoy,210.9,1.16,74,145.5,0.73,0.18,0.09,0.06,24,20
Rustun,OXGA,killjoy,210.5,1.12,76,142.8,0.70,0.27,0.13,0.09,19,9
NicoleG,NicoleG,killjoy,209.4,1.11,73,138.7,0.71,0.19,0.12,0.09,22,11
mitch,C9,killjoy,208.8,1.29,77,134.9,0.72,0.23,0.09,0.05,16,29
Naomi,VX,killjoy,208.4,1.08,72,139.1,0.72,0.17,0.07,0.05,25,14
Yosemite,SN,killjoy,207.2,1.05,71,137.9,0.72,0.18,0.06,0.10,23,20
k0chilo,Care,killjoy,206.4,0.97,70,138.5,0.72,0.22,0.08,0.10,29,9
Sofia,Sofia,killjoy,206.0,1.08,70,140.4,0.74,0.23,0.07,0.09,18,27
BulGameR,WYG,killjoy,205.5,1.28,73,134.0,0.75,0.15,0.08,0.05,19,22
VARES,BTS,killjoy,205.4,1.27,80,133.9,0.76,0.17,0.11,0.07,24,26
amnesia,CLG,killjoy,205.4,0.92,69,131.7,0.65,0.20,0.12,0.12,16,8
d1msumboi,TS,killjoy,205.0,1.16,74,143.5,0.71,0.19,0.09,0.08,27,15
ScherBi,BCG,killjoy,202.9,1.14,79,132.4,0.69,0.20,0.06,0.05,15,19
agM,COL,killjoy,202.8,1.19,72,133.8,0.73,0.15,0.10,0.09,21,19
icy,CD,killjoy,198.2,0.96,66,133.4,0.67,0.20,0.10,0.09,20,11
Bewd,PUGS,killjoy,198.1,1.14,70,126.6,0.72,0.15,0.10,0.07,22,18
Mengquan,EDG,killjoy,197.0,1.15,72,136.6,0.71,0.14,0.08,0.05,29,9
PateK,Mach,killjoy,195.6,0.87,64,129.6,0.67,0.18,0.11,0.09,22,10
Sushiboys,XIA,killjoy,195.4,0.99,69,134.0,0.68,0.17,0.07,0.09,21,15
naxy,TL,killjoy,195.2,1.17,77,132.2,0.70,0.18,0.07,0.07,14,14
ponkt,FNST,killjoy,194.1,1.00,74,133.6,0.67,0.15,0.10,0.08,31,18
Link,NWG,killjoy,189.9,0.84,64,128.6,0.65,0.15,0.07,0.09,19,13
payen,TSM.A,killjoy,189.7,0.97,71,127.9,0.67,0.19,0.05,0.07,18,15
TERNOS,XPL,killjoy,188.4,1.06,70,128.6,0.67,0.16,0.04,0.08,25,9
MrLeonan,MrLeonan,killjoy,183.8,0.89,70,125.1,0.65,0.18,0.07,0.09,19,9
FNS,OPTC,killjoy,183.5,0.93,69,123.7,0.64,0.20,0.09,0.04,18,16
Add3r,PK.A,killjoy,182.8,0.99,69,123.2,0.64,0.20,0.09,0.09,24,32
wrong,Team,killjoy,182.1,0.80,70,121.5,0.60,0.23,0.06,0.08,18,13
ZexRow,DZ,killjoy,181.4,1.17,75,124.9,0.68,0.18,0.07,0.07,20,7
Aly,BRNV,killjoy,178.7,0.98,73,120.1,0.64,0.15,0.04,0.06,21,12
Violette,TMV,killjoy,176.8,1.06,74,121.2,0.63,0.17,0.08,0.08,19,28
Astell,CR,killjoy,175.8,0.96,70,117.0,0.61,0.15,0.08,0.09,21,7
frostmind,BME,killjoy,171.4,0.95,73,120.5,0.61,0.15,0.07,0.06,28,15
Rexy,Enigma,killjoy,162.2,0.84,65,114.4,0.58,0.14,0.07,0.08,23,13
scourge,COL,neon,247.0,1.08,69,155.8,0.81,0.19,0.24,0.16,33,22
Victor,OPTC,neon,222.1,1.14,74,146.2,0.78,0.16,0.16,0.14,26,20
kamyk,AM,omen,244.8,1.27,77,166.6,0.88,0.35,0.08,0.07,32,15
Shizue,B4A,omen,219.6,1.23,78,146.6,0.85,0.39,0.12,0.05,24,13
LeeoLoos,Reig,omen,214.9,1.19,73,143.2,0.78,0.32,0.11,0.07,25,17
VHL,VHL,omen,214.3,1.14,70,137.5,0.80,0.26,0.09,0.09,39,22
Subroza,TSM,omen,212.5,1.16,75,134.8,0.76,0.34,0.09,0.08,27,13
tupperware,IMT,omen,210.8,1.07,77,140.4,0.70,0.37,0.11,0.11,23,6
PureVNS,PK.A,omen,209.1,1.18,76,141.1,0.75,0.39,0.06,0.05,30,20
delz1k,KRÜ,omen,207.1,0.98,76,130.3,0.72,0.40,0.08,0.07,27,5
Nurfed,OXGA,omen,206.4,1.08,77,133.8,0.72,0.43,0.10,0.08,21,26
rain,DIG,omen,205.0,0.96,71,130.8,0.69,0.31,0.08,0.07,20,27
Potatoe,1337,omen,204.5,0.98,72,132.5,0.72,0.31,0.10,0.09,21,9
Maverick,TRY,omen,203.3,1.01,67,131.1,0.70,0.28,0.10,0.11,25,20
khanartist,BBG.A,omen,202.5,1.16,74,131.3,0.74,0.29,0.05,0.08,38,18
zander,V1,omen,202.3,1.13,77,130.0,0.86,0.36,0.09,0.06,28,23
gucc107,Akre,omen,199.8,0.99,73,132.4,0.69,0.42,0.07,0.09,18,9
Enzo,TLPR,omen,198.5,0.94,70,129.4,0.69,0.35,0.05,0.09,27,15
Cade3k,TS,omen,198.1,1.06,75,132.3,0.73,0.39,0.06,0.03,25,19
Poti,tier,omen,197.0,1.04,73,126.5,0.70,0.36,0.06,0.07,35,11
grimoire,Roul,omen,196.8,1.02,71,129.2,0.72,0.29,0.05,0.07,39,15
spasz,spasz,omen,196.5,1.15,79,129.2,0.70,0.37,0.05,0.07,30,6
spite,TMX,omen,195.7,1.09,75,125.2,0.72,0.35,0.04,0.03,27,16
ShoT_UP,NYFU,omen,192.7,1.15,77,120.7,0.70,0.39,0.06,0.07,24,8
seoul,seoul,omen,192.1,1.02,68,123.8,0.68,0.27,0.07,0.08,34,18
nerve,CD,omen,190.9,0.96,69,122.7,0.67,0.37,0.08,0.07,27,9
valyn,TGRD,omen,189.0,0.98,74,123.7,0.68,0.35,0.05,0.06,23,11
truo,COL,omen,188.8,1.20,77,121.8,0.70,0.34,0.05,0.06,29,15
ZK,TSM.A,omen,188.4,1.17,73,119.2,0.70,0.30,0.04,0.05,36,14
maxie,BLD,omen,185.4,0.89,71,124.2,0.66,0.30,0.05,0.08,27,25
LuciA,LE,omen,183.7,0.86,73,114.7,0.61,0.39,0.05,0.08,20,19
pwny,T1,omen,181.7,0.93,73,114.5,0.63,0.39,0.07,0.05,25,22
PreTaxMicrob,PreTaxMicrob,omen,181.3,0.88,69,117.6,0.61,0.34,0.07,0.10,26,20
Antidote,Enigma,omen,180.5,1.05,69,114.2,0.65,0.28,0.08,0.09,24,7
ozzy,XL,omen,180.4,0.92,76,116.3,0.62,0.46,0.08,0.07,19,9
Nick,DNAD,omen,177.3,0.98,79,116.6,0.59,0.47,0.04,0.04,30,17
Papi,NBG,omen,177.2,0.81,66,118.0,0.63,0.32,0.08,0.12,21,11
sSef,YFP,omen,177.1,0.94,71,121.5,0.62,0.38,0.04,0.06,29,19
vanity,C9,omen,176.7,0.92,73,103.3,0.61,0.35,0.11,0.09,16,9
Jangler,TB,omen,176.1,0.90,70,114.6,0.63,0.31,0.07,0.06,19,31
Pixelzz,RGE,omen,175.9,1.06,72,114.9,0.66,0.34,0.05,0.07,28,25
cwaudia,Roul,omen,175.4,0.83,70,115.0,0.59,0.34,0.06,0.09,18,19
Rexs,BTS,omen,174.9,0.94,75,112.7,0.65,0.38,0.07,0.08,25,13
neth,CR,omen,174.2,1.07,73,108.2,0.66,0.38,0.06,0.06,27,12
Cohburg,Cohburg,omen,173.7,0.98,70,114.4,0.60,0.40,0.07,0.06,26,30
AvovA,G2,omen,172.8,0.85,67,111.9,0.60,0.32,0.06,0.10,32,12
silenx,PK,omen,172.4,0.81,66,115.5,0.60,0.37,0.04,0.09,30,6
Lazee,Lazee,omen,171.5,0.76,67,115.1,0.59,0.32,0.11,0.13,23,17
bjor,ZMM.B,omen,171.0,0.84,71,111.7,0.59,0.38,0.08,0.05,20,17
Ryu,Unde,omen,170.6,0.86,69,113.7,0.59,0.29,0.04,0.06,37,7
phoon,IluZ,omen,170.3,0.84,67,107.2,0.60,0.30,0.05,0.07,20,11
bnj,NIP,omen,169.5,1.00,75,107.6,0.61,0.35,0.05,0.04,24,24
monSi,BBG.A,omen,166.4,0.92,71,105.9,0.60,0.37,0.05,0.08,24,13
L1NK,TL,omen,164.9,1.01,74,110.4,0.65,0.29,0.04,0.05,39,14
ryuziN,ryuziN,omen,164.2,0.94,75,104.3,0.58,0.27,0.06,0.05,25,22
ICEKING,ICEKING,omen,160.5,0.72,70,109.8,0.54,0.37,0.05,0.09,24,14
mindfreak,PRX,omen,157.4,0.87,70,102.6,0.56,0.37,0.04,0.05,27,16
KillerMiller,Stas,omen,148.1,0.69,66,100.0,0.51,0.34,0.06,0.07,19,12
heist,heist,omen,143.2,0.72,64,97.7,0.52,0.25,0.06,0.11,27,14
enerii,enerii,raze,304.4,1.35,78,193.0,0.99,0.33,0.22,0.14,20,14
Katu,AWAR,raze,272.5,1.35,77,178.0,0.93,0.24,0.14,0.08,24,6
sym,LT,raze,267.3,1.28,71,177.4,0.94,0.19,0.22,0.15,29,9
ScrewFace,DZ,raze,266.9,1.14,72,174.3,0.88,0.24,0.19,0.14,17,16
K1LLERS,FCY,raze,265.3,1.33,75,175.7,0.90,0.21,0.19,0.16,30,6
lule,CAOS,raze,263.6,1.21,75,174.3,0.93,0.24,0.19,0.16,17,8
corey,TSM,raze,262.0,1.36,76,171.9,0.89,0.20,0.16,0.09,25,15
Jinggg,PRX,raze,261.3,1.11,69,171.0,0.89,0.27,0.15,0.14,17,23
FengF,FengF,raze,250.4,1.25,71,163.9,0.86,0.19,0.12,0.12,25,15
TENNN,ZETA,raze,249.9,1.11,69,163.2,0.84,0.21,0.17,0.19,21,25
BrinkssJ,Trop,raze,249.2,1.12,73,162.6,0.83,0.22,0.16,0.09,15,10
nukkye,G2,raze,248.8,1.08,75,167.7,0.78,0.29,0.14,0.15,16,17
fr1,GKE,raze,248.6,1.23,75,172.3,0.90,0.19,0.19,0.11,31,8
sonder,SR,raze,248.2,1.11,74,161.9,0.80,0.32,0.17,0.15,16,21
Nanners,TB,raze,247.6,1.08,70,161.7,0.81,0.26,0.15,0.17,18,13
Famouz,PSJ,raze,245.5,1.14,75,162.8,0.82,0.21,0.11,0.09,15,11
Excali,Enigma,raze,240.3,1.11,70,153.5,0.80,0.22,0.17,0.15,23,21
YaBoiLewis,FKS,raze,236.7,1.06,70,151.8,0.77,0.13,0.18,0.16,31,8
Goaster,MDR,raze,235.5,1.03,68,157.4,0.79,0.18,0.16,0.21,20,4
CTC,LOS,raze,231.7,1.08,71,151.0,0.77,0.25,0.17,0.15,15,18
Mikkasie,BRNV,raze,228.7,1.00,70,155.2,0.77,0.22,0.11,0.12,20,18
Precision,TSM.A,raze,228.6,1.05,75,150.4,0.76,0.27,0.15,0.18,17,19
Bunnyhuh,Team,raze,227.1,0.98,74,159.5,0.73,0.26,0.09,0.08,18,22
zekken,XSET,raze,225.3,1.12,71,143.9,0.77,0.25,0.11,0.17,16,15
kvmilhvh,WATA,raze,225.3,0.96,74,148.6,0.74,0.24,0.13,0.12,18,10
Andr0idDDD,LE,raze,224.5,0.96,67,144.3,0.74,0.19,0.13,0.13,18,17
demon,TOP,raze,224.1,0.94,64,148.0,0.75,0.24,0.17,0.22,17,25
SpYzera,FAL,raze,217.0,0.99,73,146.3,0.73,0.26,0.11,0.13,15,15
Stefanie,DIG,raze,193.6,0.85,63,134.0,0.66,0.17,0.11,0.20,24,22
sonder,SR,reyna,257.9,1.34,73,167.3,0.93,0.17,0.15,0.16,26,33
Newky,ARES,reyna,250.4,1.34,73,161.3,0.93,0.18,0.16,0.13,35,41
Valkorini,ZØ,reyna,226.5,1.08,68,147.8,0.85,0.12,0.15,0.13,38,10
Jonn,NIP,reyna,202.0,0.87,65,135.7,0.70,0.19,0.12,0.14,29,27
skyelyse,skyelyse,sage,239.5,1.26,77,151.4,0.84,0.39,0.10,0.08,20,14
hoody,G2,sage,217.7,1.07,75,141.2,0.77,0.33,0.14,0.11,28,8
Dep,ZETA,sage,217.0,1.11,71,134.3,0.75,0.36,0.12,0.08,28,13
sek1g,WYG,sage,204.6,1.01,66,131.3,0.74,0.36,0.10,0.12,25,15
Virtyy,OXGA,sage,200.3,0.99,69,128.3,0.68,0.28,0.08,0.13,24,13
maniek,AM,sage,195.0,0.94,74,121.0,0.67,0.31,0.08,0.11,25,29
scourge,COL,sage,194.1,1.00,71,126.2,0.68,0.29,0.11,0.11,34,10
grubinho,TH,sage,192.9,1.16,75,127.4,0.69,0.29,0.07,0.08,28,18
nyczu,WATA,sage,190.6,1.00,74,129.3,0.68,0.35,0.06,0.06,22,44
bld,Trop,sage,186.2,1.03,71,124.5,0.68,0.28,0.09,0.15,32,9
icy,CD,sage,181.0,1.04,74,119.3,0.66,0.39,0.08,0.06,29,21
RieNs,SUR,sage,177.1,0.88,71,114.7,0.63,0.32,0.08,0.11,36,50
Monstrum,HEET,sage,164.0,0.88,71,105.6,0.58,0.35,0.11,0.11,27,8
Dopai,DM,sage,162.6,0.76,73,104.6,0.56,0.40,0.06,0.08,19,19
JhoW,VK,sage,150.3,0.77,72,93.4,0.51,0.38,0.05,0.08,14,19
Dragonwar,iPon,sage,143.5,0.72,65,98.9,0.49,0.29,0.02,0.07,29,26
circu,GG,skye,238.3,1.23,67,155.2,0.87,0.17,0.12,0.07,46,32
Meiy,CR,skye,228.4,1.32,78,142.3,0.85,0.24,0.12,0.07,22,21
jovahnii,CD,skye,225.9,1.15,73,145.7,0.79,0.34,0.10,0.11,27,26
kongared,AAA,skye,220.7,1.04,72,140.4,0.79,0.21,0.10,0.10,31,24
foxz,XIA,skye,219.6,1.16,70,140.9,0.80,0.31,0.09,0.14,25,19
Dark3st,past,skye,216.2,1.13,74,137.7,0.76,0.34,0.09,0.09,29,27
Bones,TS,skye,213.8,1.07,71,135.0,0.80,0.34,0.08,0.09,27,17
fl1pzjder,BME,skye,210.1,1.01,70,135.9,0.74,0.23,0.11,0.12,32,38
JinNy,X10F,skye,205.4,1.20,69,130.3,0.73,0.20,0.08,0.05,24,13
genuine,AIM,skye,200.2,1.04,73,121.7,0.71,0.34,0.14,0.14,20,10
PTC,FS,skye,198.8,1.09,75,132.1,0.67,0.38,0.09,0.10,22,50
snikk,TH,skye,198.0,1.00,69,132.0,0.71,0.28,0.06,0.10,28,21
stax,DRX,skye,192.2,1.10,74,128.5,0.69,0.24,0.05,0.05,37,13
Virtyy,OXGA,skye,189.8,0.88,69,122.7,0.64,0.32,0.08,0.09,28,16
MaFiN,MaFiN,skye,189.2,0.98,70,124.0,0.66,0.26,0.08,0.07,15,10
YESicaN,FCY,skye,188.4,1.06,79,123.6,0.67,0.36,0.08,0.06,24,17
mleqt,TSM.X,skye,186.1,0.93,70,124.5,0.66,0.30,0.07,0.08,22,21
TENNN,ZETA,skye,181.0,0.87,71,125.9,0.62,0.23,0.08,0.10,31,
alexis,C9W,skye,178.0,1.12,77,117.2,0.66,0.29,0.03,0.05,25,24
xprt,xprt,skye,177.7,1.09,78,119.0,0.64,0.38,0.04,0.04,28,21
Katu,AWAR,skye,169.2,0.81,65,115.9,0.59,0.28,0.06,0.14,33,10
crashies,OPTC,skye,169.2,0.92,71,111.2,0.61,0.26,0.07,0.10,29,22
Blush,FL,skye,166.7,0.86,77,100.9,0.58,0.37,0.06,0.05,14,9
jen,IMT,skye,165.4,0.93,75,110.7,0.60,0.24,0.03,0.05,31,14
crow,ZETA,skye,164.7,0.86,72,107.1,0.60,0.22,0.03,0.08,26,7
123,Toe,skye,127.5,0.61,67,87.8,0.44,0.25,0.05,0.08,24,5
Bizerra,TBK,sova,274.1,1.41,77,184.9,0.93,0.33,0.11,0.08,25,9
sarahcat,IMT,sova,252.0,1.39,75,167.1,0.92,0.28,0.12,0.08,32,19
nukkye,G2,sova,246.6,1.25,77,170.4,0.80,0.41,0.07,0.07,23,15
mwzera,VK,sova,237.5,1.23,77,160.8,0.82,0.39,0.07,0.05,20,23
rCk,GKE,sova,236.6,1.20,77,150.8,0.77,0.43,0.07,0.04,23,21
jonba,19,sova,236.6,1.26,75,162.4,0.79,0.30,0.09,0.08,29,21
Critical,Clan,sova,236.1,1.16,77,157.4,0.79,0.42,0.09,0.09,22,13
runi,ZMM.B,sova,235.4,1.21,77,159.5,0.79,0.41,0.10,0.05,26,20
Paincakes,Akre,sova,234.1,1.31,77,152.3,0.79,0.38,0.07,0.08,26,23
Biel,KG,sova,232.3,1.37,78,158.3,0.85,0.31,0.07,0.05,32,19
waddle,HEET,sova,232.2,1.22,82,155.4,0.75,0.49,0.06,0.05,24,17
showliana,DIG,sova,231.1,1.17,74,156.0,0.79,0.33,0.11,0.05,24,22
ColdFish,ColdFish,sova,230.8,1.18,76,156.8,0.77,0.34,0.09,0.07,20,12
sirodeathyo,APH,sova,230.3,1.01,70,147.8,0.75,0.31,0.11,0.12,27,20
riku,PK.A,sova,229.9,1.16,71,156.2,0.83,0.30,0.09,0.04,22,12
woddy,seit,sova,229.0,1.31,78,155.3,0.80,0.29,0.08,0.04,36,19
Near,YaLLa,sova,228.6,1.10,74,145.3,0.77,0.34,0.08,0.05,25,21
BEAST,6K,sova,227.4,1.32,77,145.5,0.79,0.30,0.10,0.04,28,18
jakee,Team,sova,227.4,1.10,68,155.6,0.80,0.25,0.06,0.08,35,28
Bawn,Team,sova,227.3,1.12,72,158.8,0.81,0.33,0.11,0.09,24,23
Mickebwoy,BDS,sova,226.1,1.29,79,146.6,0.78,0.32,0.05,0.03,24,14
deNaro,MIBR,sova,224.1,1.45,77,143.6,0.82,0.30,0.07,0.05,25,26
daiki,TL,sova,224.0,1.40,79,144.7,0.79,0.33,0.08,0.05,31,26
fiziq,SoaR,sova,221.6,1.22,74,147.5,0.78,0.32,0.08,0.09,28,26
LunaFox,MSF,sova,220.6,1.00,71,154.9,0.69,0.46,0.06,0.07,23,20
Trick,DZ,sova,220.5,1.10,78,142.3,0.70,0.45,0.10,0.11,18,23
Fearoth,FNC,sova,220.4,1.10,75,150.5,0.72,0.32,0.07,0.04,19,11
tyfoon,tyfoon,sova,220.4,1.05,76,149.8,0.74,0.32,0.07,0.05,17,3
kxtieoh,AIM,sova,219.2,1.19,77,147.1,0.76,0.36,0.05,0.08,17,23
Wolfen,CASE,sova,219.1,1.11,80,149.4,0.75,0.35,0.08,0.07,35,22
popogachi,CR,sova,218.5,1.22,75,153.9,0.73,0.38,0.07,0.05,23,12
trent,TGRD,sova,218.4,1.27,73,154.8,0.79,0.24,0.06,0.07,32,19
foxz,XIA,sova,218.1,1.07,75,150.8,0.72,0.32,0.08,0.08,23,8
Sacy,LLL,sova,217.3,1.28,78,149.6,0.75,0.41,0.07,0.02,30,24
Siduzord,Siduzord,sova,216.8,1.16,77,147.5,0.75,0.33,0.05,0.07,21,16
blaZek1ng,BME,sova,216.6,1.17,73,147.6,0.73,0.36,0.09,0.09,32,19
RvK,Enigma,sova,216.0,1.16,72,145.2,0.74,0.28,0.05,0.05,36,15
nAny,nAny,sova,215.9,1.12,76,146.3,0.73,0.34,0.05,0.08,23,26
lenne,BLD,sova,215.9,1.05,72,143.9,0.71,0.36,0.10,0.09,22,18
fr0st,XPL,sova,215.6,1.23,78,141.2,0.73,0.40,0.08,0.04,25,11
ZeroData,Ultr,sova,215.3,1.09,73,146.5,0.73,0.31,0.06,0.05,30,12
ntk,VK,sova,215.3,1.05,73,145.7,0.68,0.43,0.07,0.08,18,16
gustt1nha,LOS,sova,215.0,1.23,77,153.1,0.74,0.36,0.07,0.05,28,15
nobody,EDG,sova,214.7,1.08,75,144.8,0.70,0.35,0.07,0.07,31,11
cauanzin,NIP,sova,214.6,1.02,72,146.0,0.72,0.32,0.08,0.05,21,10
Moe40,XL,sova,214.1,1.10,76,150.4,0.74,0.31,0.07,0.06,34,13
rite2ace,VLT,sova,213.5,1.22,79,143.1,0.73,0.40,0.05,0.03,25,22
fixky,SMG,sova,213.5,1.08,79,142.4,0.70,0.39,0.08,0.06,23,21
Fatmarino,Fatmarino,sova,213.2,1.20,76,147.2,0.76,0.27,0.05,0.05,26,7
tayhuhu,B4A,sova,212.7,1.27,78,137.0,0.80,0.32,0.07,0.05,21,11
dimasick,FNST,sova,212.6,1.09,76,147.7,0.72,0.28,0.08,0.05,36,9
kvzx,NS,sova,212.3,1.04,71,146.8,0.72,0.37,0.07,0.07,28,13
LockM,LockM,sova,211.7,1.13,74,142.4,0.73,0.28,0.10,0.08,31,28
artzin,artzin,sova,211.6,0.96,70,146.9,0.71,0.30,0.06,0.06,26,10
K1te,Toe,sova,211.2,1.05,74,146.0,0.72,0.30,0.09,0.07,28,17
NaturE,GEN,sova,210.8,1.06,73,145.6,0.73,0.32,0.05,0.08,31,13
Drone,DZ,sova,210.7,1.20,75,146.2,0.74,0.27,0.06,0.05,38,13
Governor,COL,sova,210.4,0.94,72,145.6,0.68,0.33,0.10,0.10,25,21
snikk,TH,sova,209.5,1.18,76,140.9,0.75,0.31,0.07,0.04,32,17
Ayke,owna,sova,209.1,1.16,77,139.2,0.71,0.35,0.04,0.03,29,25
Jonaaa6,ZMM.B,sova,208.7,1.12,74,141.7,0.77,0.32,0.06,0.06,30,10
Verno,OXGA,sova,208.5,1.29,77,139.2,0.76,0.33,0.05,0.03,22,11
Harmon,LT,sova,207.8,1.03,74,141.5,0.70,0.34,0.07,0.06,26,20
supA,CLB,sova,207.1,0.96,67,144.3,0.69,0.27,0.06,0.14,30,19
crashies,OPTC,sova,207.1,1.09,75,141.0,0.71,0.32,0.08,0.05,26,21
clawdia,CLG,sova,206.6,1.16,78,137.0,0.71,0.35,0.06,0.04,28,21
Pr0phie,COL,sova,206.6,1.04,73,138.5,0.69,0.30,0.09,0.09,25,19
BlackHeart,BBG.A,sova,206.3,1.02,75,141.4,0.68,0.39,0.07,0.04,23,11
fznnn,Trop,sova,206.1,1.03,69,136.8,0.69,0.32,0.07,0.08,23,12
mija,mija,sova,205.3,1.06,73,137.2,0.72,0.27,0.06,0.07,27,20
Stix,AWAR,sova,205.3,1.00,72,142.5,0.69,0.32,0.06,0.04,26,13
Moonnnn,LUSA,sova,204.6,1.19,76,139.6,0.70,0.35,0.06,0.06,30,15
Hitch,NOM,sova,204.5,0.96,71,138.8,0.67,0.32,0.08,0.08,16,16
Rambut4n,DXG,sova,204.3,0.92,75,141.9,0.66,0.37,0.07,0.03,22,17
ExciteMVP,Wind,sova,204.0,1.11,73,137.8,0.69,0.30,0.08,0.03,20,24
LAMMYSNAX,FS,sova,203.5,1.14,78,138.0,0.67,0.33,0.07,0.04,23,8
Jessie,Jessie,sova,202.5,1.07,72,136.8,0.72,0.28,0.07,0.05,29,15
berLIN,KPC,sova,202.2,1.01,75,139.5,0.66,0.41,0.06,0.08,37,17
Badgal,CAOS,sova,201.4,1.27,80,129.4,0.79,0.29,0.05,0.04,16,14
MARCTYLINHO,S1,sova,199.7,1.04,75,137.6,0.67,0.43,0.03,0.03,22,13
Ginilson,Proj,sova,199.6,0.93,71,132.1,0.66,0.35,0.10,0.06,22,12
venture,TSM.A,sova,199.5,1.16,77,133.7,0.68,0.40,0.04,0.05,20,19
