player,org,agents,rounds,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
AC,AC,astra,995,198.6,0.95,69,127.9,0.70,0.21,0.08,0.08,25,12
gbzw,gbzw,astra,663,198.6,0.99,72,129.0,0.69,0.32,0.08,0.11,24,18
BOSS,BOSS,astra,291,198.5,1.03,,129.5,0.73,0.30,0.04,0.04,24,17
Fr4nky,FAL,astra,2260,198.4,0.98,71,133.1,0.68,0.33,0.08,0.07,22,15
stk,RTS,astra,257,198.3,0.99,,135.0,0.69,0.28,0.05,0.07,20,18
Akleous,Akleous,astra,203,198.1,0.93,62,125.8,0.69,0.23,0.08,0.07,26,12
Maximoose,XENE,astra,450,198.0,0.79,,130.1,0.66,0.24,0.08,0.08,18,5
Babax,The,astra,533,197.9,0.90,66,126.0,0.69,0.17,0.10,0.09,34,8
WOW,WOW,astra,329,197.8,0.90,72,127.6,0.68,0.28,0.06,0.08,20,23
ExiT,01,astra,700,197.8,0.94,68,126.0,0.68,0.24,0.10,0.12,21,8
Mono,PAMP,astra,525,197.7,0.96,73,133.1,0.70,0.24,0.13,0.11,20,11
Raina,RIX,astra,1710,197.7,0.99,76,128.2,0.69,0.28,0.09,0.09,22,13
Adam,TeVo,astra,1024,197.7,0.87,67,131.9,0.68,0.29,0.08,0.10,21,5
jEEE,NS,astra,949,197.6,1.00,72,132.5,0.70,0.32,0.08,0.09,28,20
Lulu,Lulu,astra,286,197.6,0.85,61,134.2,0.66,0.23,0.08,0.07,17,14
ouki,LLH,astra,346,197.5,0.98,66,130.3,0.73,0.23,0.05,0.06,26,10
Shizue,B4A,astra,2463,196.7,1.04,76,131.4,0.71,0.33,0.09,0.08,21,11
RiceballiNNN,C4,astra,2686,196.7,0.93,72,134.0,0.65,0.32,0.07,0.08,22,16
gucc107,Akre,astra,5821,196.6,1.03,72,127.3,0.71,0.35,0.07,0.07,23,18
Made,SXG,astra,583,196.4,0.95,72,126.8,0.67,0.26,0.09,0.09,25,13
GioRuu,GioRuu,astra,815,196.2,0.91,66,130.1,0.69,0.27,0.08,0.11,26,8
kat,C9W,astra,2689,196.2,1.07,74,127.4,0.71,0.26,0.08,0.07,30,16
Cebando,Cebando,astra,438,196.1,1.02,,127.8,0.70,0.32,0.08,0.07,24,23
Hermes,HM,astra,795,196.1,0.92,70,127.2,0.69,0.25,0.15,0.12,22,12
PanzeR,RGE,astra,807,196.1,0.90,70,128.8,0.68,0.29,0.08,0.08,21,14
JAIGRAYRAY,47,astra,543,196.1,1.00,76,125.9,0.72,0.30,0.08,0.08,25,16
Aery,Aery,astra,250,196.0,0.74,69,127.3,0.62,0.33,0.11,0.13,22,9
delz1k,KRÜ,astra,2588,196.0,0.99,73,127.7,0.69,0.31,0.08,0.09,23,11
Gb0x,Gb0x,astra,276,195.8,0.79,,125.8,0.66,0.26,0.07,0.08,20,13
burnzke,DW,astra,333,195.8,0.82,,119.4,0.65,0.25,0.08,0.10,17,13
spasz,spasz,astra,414,195.7,1.09,75,131.6,0.70,0.29,0.05,0.03,29,14
Logistaa,RNT,astra,2162,195.7,0.98,68,129.3,0.68,0.21,0.07,0.08,23,11
MissLaia,Case,astra,528,195.7,0.98,,128.2,0.70,0.30,0.08,0.09,24,14
